Model,threshold,fpr,tpr
Ovary-centric,0.11524614245683439,0.44036697247706424,0.9245283018867925
Ovary-centric,0.10969229002141889,0.44954128440366975,0.9245283018867925
Ovary-centric,0.10239172042025405,0.44954128440366975,0.9433962264150944
Ovary-centric,0.10062374500300579,0.45871559633027525,0.9433962264150944
Ovary-centric,0.09204421007697881,0.45871559633027525,0.9622641509433962
Ovary-centric,0.08534593799723418,0.46788990825688076,0.9622641509433962
Ovary-centric,0.08520362652583285,0.47706422018348627,0.9622641509433962
Ovary-centric,0.08330901084914163,0.48623853211009177,0.9622641509433962
Ovary-centric,0.07231922463000037,0.4954128440366973,0.9622641509433962
Ovary-centric,0.06757914987889806,0.4954128440366973,0.9811320754716981
Ovary-centric,0.0673279026535603,0.5045871559633027,0.9811320754716981
Ovary-centric,0.06552835155692163,0.5137614678899083,0.9811320754716981
Ovary-centric,0.06521538574905947,0.5229357798165137,0.9811320754716981
Ovary-centric,0.06465504090029997,0.5321100917431193,0.9811320754716981
Ovary-centric,0.06354398894533259,0.5412844036697247,0.9811320754716981
Ovary-centric,0.06172678762005824,0.5504587155963303,0.9811320754716981
Ovary-centric,0.061648655015501166,0.5596330275229358,0.9811320754716981
Ovary-centric,0.05697937401926863,0.5688073394495413,0.9811320754716981
Ovary-centric,0.056058431492510774,0.5688073394495413,1.0
Ovary-centric,0.043116749687587635,0.5779816513761468,1.0
Ovary-centric,0.038667446889528216,0.5871559633027523,1.0
Ovary-centric,0.03585280202389133,0.5963302752293578,1.0
Ovary-centric,0.034618216833979816,0.6055045871559633,1.0
Ovary-centric,0.03390031346199373,0.6146788990825688,1.0
Ovary-centric,0.03170899247388901,0.6238532110091743,1.0
Ovary-centric,0.03131652899357594,0.6330275229357798,1.0
Ovary-centric,0.030701012056703215,0.6422018348623854,1.0
Ovary-centric,0.028902561326436225,0.6513761467889908,1.0
Ovary-centric,0.027113450607490937,0.6605504587155964,1.0
Ovary-centric,0.026701201445866553,0.6697247706422018,1.0
Ovary-centric,0.02523001643857218,0.6788990825688074,1.0
Ovary-centric,0.024786548370435056,0.6880733944954128,1.0
Ovary-centric,0.023835304230248915,0.6972477064220184,1.0
Ovary-centric,0.023314547712798003,0.7064220183486238,1.0
Ovary-centric,0.023267568740729005,0.7155963302752294,1.0
Ovary-centric,0.022864468836984137,0.7247706422018348,1.0
Ovary-centric,0.02255745320890123,0.7339449541284404,1.0
Ovary-centric,0.021540250011928278,0.7431192660550459,1.0
Ovary-centric,0.020824447049592718,0.7522935779816514,1.0
Ovary-centric,0.019961643112663033,0.7614678899082569,1.0
Ovary-centric,0.017896019192967,0.7706422018348624,1.0
Ovary-centric,0.015505033301691704,0.7798165137614679,1.0
Ovary-centric,0.015340810909159942,0.7889908256880734,1.0
Ovary-centric,0.013348376269333578,0.7981651376146789,1.0
Ovary-centric,0.01156389791998227,0.8073394495412844,1.0
Ovary-centric,0.01123440542241204,0.8165137614678899,1.0
Ovary-centric,0.010716079661508185,0.8256880733944955,1.0
Ovary-centric,0.010530408336963079,0.8348623853211009,1.0
Ovary-centric,0.009880789936165967,0.8440366972477065,1.0
Ovary-centric,0.009617082986143423,0.8532110091743119,1.0
Ovary-centric,0.009441608433168915,0.8715596330275229,1.0
Ovary-centric,0.009169426573602141,0.8807339449541285,1.0
Ovary-centric,0.008966354215764383,0.8899082568807339,1.0
Ovary-centric,0.008567708724943456,0.8990825688073395,1.0
Ovary-centric,0.008172878690927669,0.908256880733945,1.0
Ovary-centric,0.007916954241096796,0.9174311926605505,1.0
Ovary-centric,0.007688613415414999,0.926605504587156,1.0
Ovary-centric,0.007503439276191067,0.9357798165137615,1.0
Ovary-centric,0.0068771263337928075,0.944954128440367,1.0
Ovary-centric,0.006370485169588707,0.9541284403669725,1.0
Ovary-centric,0.006340195268915742,0.963302752293578,1.0
Ovary-centric,0.00487308050315946,0.9724770642201835,1.0
Ovary-centric,0.004719913352888961,0.981651376146789,1.0
Ovary-centric,0.0043107658233205995,0.9908256880733946,1.0
Ovary-centric,0.0036673651608067396,1.0,1.0
Ovary-centric,-inf,1.0,1.0
Metabolic + symptom,inf,0.0,0.0
Metabolic + symptom,0.98581983483245,0.009174311926605505,0.0
Metabolic + symptom,0.9591577045534113,0.009174311926605505,0.018867924528301886
Metabolic + symptom,0.9487942777840057,0.01834862385321101,0.018867924528301886
Metabolic + symptom,0.9395271730093557,0.01834862385321101,0.03773584905660377
Metabolic + symptom,0.9381366543941375,0.01834862385321101,0.05660377358490566
Metabolic + symptom,0.9360187325757453,0.01834862385321101,0.07547169811320754
Metabolic + symptom,0.9171027359909417,0.01834862385321101,0.09433962264150944
Metabolic + symptom,0.9144723486447831,0.01834862385321101,0.11320754716981132
Metabolic + symptom,0.9051572236745725,0.01834862385321101,0.1320754716981132
Metabolic + symptom,0.8729849720367997,0.01834862385321101,0.1509433962264151
Metabolic + symptom,0.872807851696354,0.01834862385321101,0.16981132075471697
Metabolic + symptom,0.844486532902557,0.01834862385321101,0.18867924528301888
Metabolic + symptom,0.8428185277703124,0.01834862385321101,0.20754716981132076
Metabolic + symptom,0.8226550085185483,0.027522935779816515,0.20754716981132076
Metabolic + symptom,0.8098661804931199,0.027522935779816515,0.22641509433962265
Metabolic + symptom,0.8072047601187363,0.027522935779816515,0.24528301886792453
Metabolic + symptom,0.8034102758538395,0.027522935779816515,0.2641509433962264
Metabolic + symptom,0.8026646634073189,0.027522935779816515,0.2830188679245283
Metabolic + symptom,0.8003619290433782,0.027522935779816515,0.3018867924528302
Metabolic + symptom,0.7978078833957578,0.027522935779816515,0.32075471698113206
Metabolic + symptom,0.7878251225223963,0.027522935779816515,0.33962264150943394
Metabolic + symptom,0.7816886806039833,0.027522935779816515,0.3584905660377358
Metabolic + symptom,0.7765958649555273,0.027522935779816515,0.37735849056603776
Metabolic + symptom,0.7593053326694189,0.027522935779816515,0.39622641509433965
Metabolic + symptom,0.7574511209571749,0.027522935779816515,0.41509433962264153
Metabolic + symptom,0.7384530377538556,0.027522935779816515,0.4339622641509434
Metabolic + symptom,0.7374610783177795,0.03669724770642202,0.4339622641509434
Metabolic + symptom,0.7373942987989223,0.03669724770642202,0.4528301886792453
Metabolic + symptom,0.7310232190390271,0.03669724770642202,0.4716981132075472
Metabolic + symptom,0.7252546380331012,0.03669724770642202,0.49056603773584906
Metabolic + symptom,0.7128978660505668,0.03669724770642202,0.5094339622641509
Metabolic + symptom,0.7096520709126245,0.03669724770642202,0.5283018867924528
Metabolic + symptom,0.6992037140669894,0.03669724770642202,0.5471698113207547
Metabolic + symptom,0.6848358429531138,0.03669724770642202,0.5660377358490566
Metabolic + symptom,0.6774368986801181,0.03669724770642202,0.5849056603773585
Metabolic + symptom,0.6762240661655342,0.045871559633027525,0.5849056603773585
Metabolic + symptom,0.6706381211953638,0.05504587155963303,0.5849056603773585
Metabolic + symptom,0.6680655472871043,0.05504587155963303,0.6037735849056604
Metabolic + symptom,0.6530910978488103,0.06422018348623854,0.6037735849056604
Metabolic + symptom,0.640366442419853,0.06422018348623854,0.6226415094339622
Metabolic + symptom,0.6389452406671788,0.06422018348623854,0.6415094339622641
Metabolic + symptom,0.6253027703906068,0.06422018348623854,0.660377358490566
Metabolic + symptom,0.6144892825358805,0.06422018348623854,0.6792452830188679
Metabolic + symptom,0.6096625121988856,0.06422018348623854,0.6981132075471698
Metabolic + symptom,0.6022507129452894,0.07339449541284404,0.6981132075471698
Metabolic + symptom,0.5900540475960522,0.07339449541284404,0.7169811320754716
Metabolic + symptom,0.566737238652305,0.08256880733944955,0.7169811320754716
Metabolic + symptom,0.5532015873667366,0.09174311926605505,0.7169811320754716
Metabolic + symptom,0.5475665856081106,0.10091743119266056,0.7169811320754716
Metabolic + symptom,0.543488749637688,0.11009174311926606,0.7169811320754716
